שכבה,שדה,פלט ללקוח,פלט מקצועי,מקור,מוצג תמיד?,הערה,גרסה
Executive,תמונת מצב כללית,3–5 משפטים על מצב העסק,"סיכום ממצאים, מגבלות נתונים ו-confidence",כל המנוע,כן,ללא חוות דעת משפטית מלאה.,V1
Executive,מספר מוקדי חשיפה,כן — לפי רמות,כן — כולל Rule IDs,Rule Engine,כן,לא להציג 'ציון ציות' כאמת מוחלטת.,V1
Finding,תחום,דיני עבודה/פרילנסרים/פרטיות,תחום + תת-תחום,Rule,כן,,V1
Finding,ממצא,נוסח תמציתי ולא מאשים,ממצא משפטי מפורט,Rule + Evidence,כן,,V1
Finding,רמת סיכון,נמוך/בינוני/משמעותי/גבוה/קריטי,ציון 0–100 + Override,Calculator,כן,,V1
Finding,רמת ודאות,אפשר: 'נדרש אימות',1–4 + מקורות הראיה,Evidence,רק כשנדרש,מונע הצגת מסקנות ודאיות על בסיס תשובה עצמית בלבד.,V1
Finding,היקף,למשל 'משפיע על חלק מהעובדים',מספר/אחוז עובדים,Responses,כן,,V1
Finding,למה זה חשוב,הסבר קצר,עיקרון משפטי + מקור,Legal Source,כן,לא להעתיק הוראות חוק ארוכות.,V1
Finding,פעולה מומלצת,פעולה אופרטיבית,תכנית טיפול + קדימות,Rule,כן,,V1
Commercial,שירות המשך,רק אם רלוונטי,מיפוי Need לשירות,Rule,לא בהכרח,לא להפוך את הדוח לפרסומת.,V1
Privacy,דגל מידע רגיש,לא בהכרח,כן — לצורך אבטחה/גישה/שמירה,PRIV-01,מותנה,,V1
Freelancer,ציון Screening,רמה בלבד,ניקוד אינדיקציות + פירוט,Freelancer Model,מותנה,להדגיש שאינו קובע מעמד משפטי.,V1
