שאלה,אינדיקציה,תנאי,נקודות Screening,כיוון,הערה,מקור,אוטומטי
FR-04,תלות/בלעדיות,אין לקוחות אחרים,10,מעלה סיכון,תלות כלכלית היא אינדיקציה בלבד.,פסיקה – מבחן ההשתלבות,כן
FR-05,שליטה בשעות,העסק קובע את השעות,10,מעלה סיכון,רלוונטי לכפיפות ולשליטה.,פסיקה – מבחני עזר,כן
FR-06,ביצוע אישי,חייב לבצע אישית,10,מעלה סיכון,מאפיין מרכזי ביחסי עבודה.,פסיקה – מבחני עזר,כן
FR-07,כפיפות,מנהל נותן הוראות שוטפות,10,מעלה סיכון,יש להבחין בין פיקוח מקצועי טבעי לבין כפיפות ארגונית.,פסיקה – מבחני עזר,כן
FR-08,מקום,עובד בעיקר במשרדי העסק,5,מעלה סיכון,"משקל נמוך יחסית, תלוי בתחום.",פסיקה – מבחני עזר,כן
FR-09,ציוד,העסק מספק את עיקר הציוד,5,מעלה סיכון,תלוי במקצוע ובמודל העסקי.,פסיקה – מבחני עזר,כן
FR-10,השתלבות ארגונית,מייל/מערכות/אתר כחלק מהצוות,10,מעלה סיכון,אינדיקציה חזקה להשתלבות.,פסיקה – מבחן ההשתלבות,כן
FR-11,השתלבות ארגונית,משתתף שוטף בישיבות/הדרכות,5,מעלה סיכון,תלוי באופי ההתקשרות.,פסיקה – מבחן ההשתלבות,כן
FR-12,שליטה בהיעדרות,נדרש אישור לחופשה,10,מעלה סיכון,מבדיל בין תיאום מסחרי לבין כפיפות.,פסיקה – מבחני עזר,כן
FR-13,ליבת העסק,שכירים מבצעים עבודה דומה,10,מעלה סיכון,אינדיקציה להשתלבות במפעל העסק.,פסיקה – מבחן ההשתלבות,כן
FR-14,היסטוריית קשר,היה/הפך לשכיר,10,מעלה סיכון,דורש בחינת שינוי אמיתי במתכונת.,פסיקה – מבחני עזר,כן
FR-03,אופן תשלום,חודשי קבוע או לפי שעות,5,מעלה במעט,לא מכריע כשלעצמו.,פסיקה – מבחני עזר,כן
FR-06,יכולת החלפה,יכול להעסיק אחרים ללא אישור,-10,מפחית סיכון,אינדיקציה לעצמאות עסקית.,פסיקה – מבחני עזר,כן
FR-04,לקוחות נוספים,יש לקוחות נוספים,-5,מפחית סיכון,משקל מוגבל; ייתכן עובד עם עבודה נוספת.,פסיקה – מבחני עזר,כן
