נושא,מקור,עיקרון למנוע,URL,סטטוס/עדכון
הודעה לעובד – הסכם כתחליף,"חוק הודעה לעובד (תנאי עבודה), סעיף 2(ד)",הסכם בכתב הכולל את מלוא העניינים הנדרשים עשוי למלא את חובת מסירת ההודעה.,https://fs.knesset.gov.il/%5C18%5Claw%5C18_lsr_301205.pdf,יציב
טופס לדוגמה – הודעה לעובד,משרד העבודה,משמש רשימת עזר לפרטי תנאי העבודה שנמסרים לעובד.,https://www.gov.il/BlobFolder/generalpage/work-rights-working-conditions-notification/he/workers-rights_admission-to-work_work-rights-working-conditions-notification_Hodaa-Pirot.pdf,יציב
פרילנסרים – מבחני עובד/מעסיק,בית הדין הארצי לעבודה,"המעמד נקבע לפי נסיבות ומהות הקשר, במרכזן מבחן ההשתלבות ומבחני עזר.",https://www.gov.il/BlobFolder/legalinfo/judgment_sheltered_employment/he/haim_zer_judgment.pdf,פסיקה מנחה
סעיף 14,אישור כללי מכוח סעיף 14 לחוק פיצויי פיטורים,יש לבחון את ההסדרה בפועל ולא להסתפק באמירה 'יש סעיף 14'.,https://www.gov.il/BlobFolder/guide/provisions-for-severance-pay/en/workers-rights_dismissal-and-termination-of-work_provisions-for-severance-pay_procedures_insurance-fund-instead-of-severance-pay.pdf,יציב
תיקון 13 – מידע אישי,הרשות להגנת הפרטיות,מאז 14.8.2025 ההגדרה רחבה: נתון הנוגע לאדם מזוהה או ניתן לזיהוי; נקבעה גם קטגוריית מידע בעל רגישות מיוחדת.,https://www.gov.il/he/pages/tikun13_qa?chapterIndex=6,עודכן 18.08.2025
תיקון 13 – DPO,הרשות להגנת הפרטיות,גילוי דעת סופי ועדכני לגבי היקף החובה ומעמד ממונה הגנת פרטיות.,https://www.gov.il/he/pages/amendment-13-26-07-26,פורסם 26.07.2026
מצלמות במקום העבודה,הרשות להגנת הפרטיות – הנחיה 5/2017,"נדרשת בחינת מטרה, נחיצות, מידתיות, שקיפות ומיקום; הזכות לפרטיות קיימת גם במקום העבודה.",https://www.gov.il/blobfolder/policy/workplace_camera/he/3-17_0.pdf,הנחיה ייעודית
ביומטריה לנוכחות,הרשות להגנת הפרטיות,שימוש באמצעי ביומטרי מחייב בחינת אינטרס לגיטימי וחלופות פחות פוגעניות.,https://www.gov.il/BlobFolder/policy/biometric_workplace/he/BiometriWorkplace.pdf,פורסם 2026
רישום מאגרים לאחר תיקון 13,הרשות להגנת הפרטיות,חובת הרישום הכללית צומצמה ונותרה לגבי מאגרים מסוגים מסוימים.,https://www.gov.il/he/service/registration_in_the_database,נבדק 2026
חובת הודעה לרשות,הרשות להגנת הפרטיות,"מאגר עם מידע בעל רגישות מיוחדת על יותר מ-100,000 נושאי מידע עשוי לחייב הודעה לרשות.",https://www.gov.il/he/service/notice-obligation,נבדק 2026
הטרדה מינית – מעל 25 עובדים,הכנסת / תקנות חובות מעסיק,מעסיק מעל 25 עובדים מחויב בתקנון מותאם ומפורסם.,https://main.knesset.gov.il/News/PressReleases/pages/press01.05.18d.aspx,יציב
תיקון 13 – מדריך מקצועי,הרשות להגנת הפרטיות,"מדריך מקצועי לתיקון 13, הגדרות, אחריותיות ואכיפה.",https://www.gov.il/BlobFolder/reports/guide_tikon13_professional/he/tikun%2013%20_170825.pdf,2025–2026
DPO – גילוי דעת סופי 2026,הרשות להגנת הפרטיות,"היקף חובת מינוי ממונה, תפקידיו ומעמדו לאחר תיקון 13.",https://www.gov.il/he/pages/amendment-13-26-07-26,27.07.2026
חובת הודעה על מאגר,הרשות להגנת הפרטיות,"מידע בעל רגישות מיוחדת על יותר מ-100,000 נושאי מידע עשוי להפעיל חובת הודעה.",https://www.gov.il/he/service/notice-obligation,נבדק 30.08.2026
כלי הערכת פרטיות,הרשות להגנת הפרטיות,"כלי דיגיטלי הכולל בדיקות מצלמות, ניטור, DPO וזכויות מידע.",https://mojforms.justice.gov.il/mojaemprivacyprotectionauthority/dpiaform.html,נבדק 30.08.2026
