Rule ID,תחום,ממצא/נושא,קלטים,תנאי לוגי V1,סטטוס מוצע,חומרה בסיסית 1-5,Override קריטי?,ראיה נדרשת,חישוב היקף,משך,שיטתיות,המלצה ראשונית,שירות אפשרי,מקור משפטי,אוטומציה,הערת זהירות
R-EMP-001,דיני עבודה,היעדר מסמך תנאי עבודה,"EMP-01, EMP-02",EMP-01=לא AND EMP-02=לא,חשיפה ברורה,4,לא,דיווח עצמי; עדיפות למסמכי עובד,מספר העובדים ללא מסמך,משך ההעסקה,מדיניות/רוחבי,להסדיר מסמכי תנאי עבודה ולבדוק רטרואקטיבית את האוכלוסייה.,הסכמי עבודה/הודעות לעובד,https://www.gov.il/BlobFolder/generalpage/work-rights-working-conditions-notification/he/workers-rights_admission-to-work_work-rights-working-conditions-notification_Hodaa-Pirot.pdf,אוטומטי,יש לבדוק חריגים ומועד מסירה לפי נסיבות.
R-EMP-002,דיני עבודה,אין הודעה אך קיים הסכם,"EMP-01, EMP-02, DOC-01",EMP-02=לא AND EMP-01=כן/חלק,נדרשת בדיקת מסמך,2,לא,הסכם עבודה,מספר העובדים הרלוונטיים,משך ההעסקה,לפי דפוס,AI יבדוק אם ההסכם כולל את פרטי החובה; אין לקבוע הפרה אוטומטית.,בדיקת/עדכון הסכמים,https://fs.knesset.gov.il/%5C18%5Claw%5C18_lsr_301205.pdf,AI+Rule,סעיף 2(ד): הסכם מתאים עשוי למלא את החובה.
R-EMP-003,דיני עבודה,שינוי תנאים ללא תיעוד,"EMP-04, EMP-05",EMP-04=כן AND EMP-05=לפעמים/לא,חשיפה אפשרית,3,לא,דיווח עצמי + מסמכי שינוי,מספר העובדים ששונו תנאיהם,משך מאז השינוי,חוזר/מדיניות,למפות שינויים וליצור מנגנון הודעה ותיעוד.,נוהל שינוי תנאי העסקה,https://www.gov.il/BlobFolder/generalpage/work-rights-working-conditions-notification/he/workers-rights_admission-to-work_work-rights-working-conditions-notification_Hodaa-Pirot.pdf,אוטומטי,נדרשת בדיקה לפי סוג השינוי והחריגים.
R-TIME-001,שעות עבודה,עובדים שאינם מדווחים שעות,"TIME-01, TIME-03, GEN-09",TIME-01=רק חלק/רק שעתיים/לא,חשיפה אפשרית,4,לא,דיווח + תפקידים + הסכמים,מספר עובדים ללא דיווח,משך הפרקטיקה,מדיניות/רוחבי,לבחון תחולת חוק שעות עבודה ומנוחה והאם ההחרגה מוצדקת.,בדיקת נוכחות ומשרות אמון,,Rule+Manual,אין להסיק שמשרת אמון רק כי כך הוגדרה.
R-TIME-002,שעות עבודה,שעות נוספות כלולות בשכר/לא משולמות,"TIME-06, TIME-07, DOC-01, DOC-03, DOC-04",TIME-06=כן/לעיתים AND TIME-07 כולל כלולות בשכר או לא משולמות,חשיפה גבוהה,5,כן,תלוש + נוכחות + הסכם,מספר העובדים,משך,מדיניות/חוזר,בדיקה מיידית של מנגנון התשלום והפרשי שכר אפשריים.,בדיקת שעות נוספות,,AI+Rule,Override קריטי כאשר הפרקטיקה רוחבית/ממושכת; יש לבדוק חריגים.
R-TIME-003,שעות עבודה,רכיב גלובלי שאינו נפרד/לא מגובה,"TIME-07, TIME-08, DOC-01, DOC-03, DOC-04",TIME-07 כולל גלובלי AND (TIME-08=לא OR מסמך/נוכחות אינם תומכים),חשיפה אפשרית,4,לא,הסכם + תלוש + נוכחות,עובדים עם רכיב גלובלי,משך,מדיניות,"לבדוק סבירות הרכיב, הפרדה ותאימות לביצוע בפועל.",בדיקת הסכמי שכר,,AI+Rule,הניקוד יושפע מחוסר התאמה בין רכיב גלובלי לשעות בפועל.
R-TIME-004,שעות עבודה,עבודה בלילה,TIME-13,TIME-13=כן,נדרשת בדיקה,2,לא,שעות משמרת + נוכחות,עובדי לילה,משך,חוזר,"לבדוק מגבלות עבודת לילה, שעות נוספות והסדרים מיוחדים.",בדיקת משמרות,,Rule+Manual,עצם עבודת הלילה אינה הפרה.
R-TIME-005,שעות עבודה,עבודה במנוחה שבועית/חג,TIME-14,TIME-14=כן/לעיתים,נדרשת בדיקה,3,לא,נוכחות + היתרים לפי הצורך,עובדים רלוונטיים,משך,חוזר/מדיניות,"לבדוק היתר/חריג, גמול ומנוחה חלופית.",בדיקת העסקה בשבת/חג,https://www.gov.il/he/service/request-for-employment-during-weekend-or-extra-hours,Rule+Manual,עצם העבודה אינה בהכרח הפרה.
R-TIME-006,שעות עבודה,הפסקה שבה העובד נשאר זמין,TIME-15,TIME-15=כן/תלוי,נדרשת בדיקה,3,לא,נוהל + נוכחות,עובדים רלוונטיים,משך,חוזר,לבחון האם זמן ההפסקה מהווה זמן עבודה לצורך תשלום.,בדיקת זמני עבודה,,Rule+Manual,תלוי בחובת הנוכחות וביכולת העובד לצאת.
R-TIME-007,שעות עבודה,עבודה מחוץ לשעות ללא מנגנון דיווח,"TIME-16, TIME-01",TIME-16=כן/לעיתים AND אין מנגנון מתאים,חשיפה אפשרית,3,לא,תשובות + נוכחות + מדיניות,עובדים רלוונטיים,משך,חוזר,"להסדיר זמינות, דיווח ועבודה מרחוק.",מדיניות עבודה מרחוק,,Rule+Manual,דורש בירור עובדתי; לא כל הודעה ב-WhatsApp היא זמן עבודה.
