ממד,ערך/קטגוריה,נקודות,הסבר,נכנס לציון?,שימוש,הערה,גרסה
חומרה משפטית בסיסית,1 – טכני/השלמה,10,פער תיעודי או ממשלי שאינו מלמד לבדו על פגיעה מהותית.,כן,Base Severity,,V1
חומרה משפטית בסיסית,2 – בינוני,20,אי-התאמה שדורשת תיקון אך החשיפה תלויה בנסיבות נוספות.,כן,Base Severity,,V1
חומרה משפטית בסיסית,3 – משמעותי,30,סיכון משפטי ממשי או הפרה אפשרית עם השלכה כספית/ראייתית.,כן,Base Severity,,V1
חומרה משפטית בסיסית,4 – גבוה,40,"חשיפה מהותית, שיטתית או בעלת פוטנציאל כספי/אכיפתי גבוה.",כן,Base Severity,,V1
חומרה משפטית בסיסית,5 – קריטי,50,מצב הדורש בדיקה/פעולה מיידית; לעיתים Override לקריטי.,כן,Base Severity,,V1
היקף,עובד יחיד / עד 10% מהעובדים,5,היקף מצומצם.,כן,Scope,,V1
היקף,11%–25% או 2–5 עובדים,10,היקף מוגבל אך לא נקודתי.,כן,Scope,,V1
היקף,26%–50% או 6–20 עובדים,15,היקף משמעותי.,כן,Scope,,V1
היקף,>50% או מעל 20 עובדים,20,חשיפה רוחבית.,כן,Scope,,V1
משך,אירוע נקודתי / פחות מ-3 חודשים,2,משך קצר.,כן,Duration,,V1
משך,3–11 חודשים,4,חשיפה מתמשכת פחות משנה.,כן,Duration,,V1
משך,12–35 חודשים,7,חשיפה ממושכת.,כן,Duration,,V1
משך,36 חודשים ומעלה,10,חשיפה מצטברת משמעותית.,כן,Duration,,V1
שיטתיות,בודד,0,אירוע חד-פעמי.,כן,Systemic,,V1
שיטתיות,חוזר,5,פרקטיקה שחזרה יותר מפעם אחת.,כן,Systemic,,V1
שיטתיות,מדיניות/כלל ארגוני,10,"הפער מובנה בתהליך, חוזה, מדיניות או מערכת.",כן,Systemic,,V1
מחלוקת/אכיפה,אין,0,אין אינדיקציה להליך פעיל.,כן,Active dispute,,V1
מחלוקת/אכיפה,תלונה/מחלוקת פעילה,5,סיכון למימוש החשיפה.,כן,Active dispute,,V1
מחלוקת/אכיפה,הליך משפטי/מינהלי/מכתב דרישה,10,החשיפה כבר התממשה או קרובה לכך.,כן,Active dispute,,V1
ודאות,דיווח עצמי בלבד,1,הנתון מבוסס על תשובת הלקוח בלבד.,לא,Confidence,להציג 1/4,V1
ודאות,שתי תשובות תואמות,2,קיימת הצלבה פנימית.,לא,Confidence,להציג 2/4,V1
ודאות,מסמך תומך,3,נמצא תימוכין במסמך.,לא,Confidence,להציג 3/4,V1
ודאות,מסמך + הצלבה תפעולית,4,מסמך ותשובות/נתוני שכר/נוכחות תואמים.,לא,Confidence,להציג 4/4,V1
