ID,תחום,תת-תחום,נוסח השאלה ללקוח,סוג תשובה,אפשרויות / פורמט,מתי מוצג (Trigger),שאלת המשך / פעולה,מסמך להעלאה,בדיקה פנימית בשלב הניתוח,שירות/צורך שעשוי להתגלות,ליבה/מותנה
GEN-01,פרופיל העסק,מבנה,מהי צורת ההתאגדות של העסק?,בחירה יחידה,"חברה בע""מ | עוסק מורשה | עוסק פטור | עוסק זעיר | שותפות | עמותה/חל""צ | אחר",תמיד,,,ישמש להתאמת היקף החשיפה והדוח; לא לבדו לקביעת סיכון.,,ליבה
GEN-02,פרופיל העסק,פעילות,מהו תחום הפעילות המרכזי של העסק?,טקסט קצר,,תמיד,,,לזהות צורך בבדיקת הסדרים ענפיים/צווי הרחבה רלוונטיים.,,ליבה
GEN-03,פרופיל העסק,אתרים,בכמה אתרים/סניפים פועל העסק?,מספר,,תמיד,,,"משפיע על מצלמות, מדיניות, אחידות מסמכים והיקף חשיפה.",,ליבה
GEN-04,פרופיל העסק,כוח אדם,כמה עובדים שכירים מועסקים כיום?,מספר,,תמיד,,,פרמטר מרכזי להיקף החשיפה ולטריגרים מבוססי מספר עובדים.,,ליבה
GEN-05,פרופיל העסק,כוח אדם,כמה עובדים נוספים הועסקו בעסק במהלך 12 החודשים האחרונים ואינם מועסקים כיום?,מספר,,תמיד,,,משפיע על בדיקת סיום העסקה והיקף חשיפה רטרוספקטיבי.,,ליבה
GEN-06,פרופיל העסק,פרילנסרים,כמה פרילנסרים/נותני שירות קבועים עובדים כיום עם העסק?,מספר,,תמיד,אם גדול מ-0 → פתיחת מודול פרילנסרים.,,,בדיקת סיווג התקשרויות,ליבה
GEN-07,פרופיל העסק,שכר,כמה מהעובדים מועסקים בשכר שעתי?,מספר,,GEN-04 > 0,,,,,ליבה
GEN-08,פרופיל העסק,שכר,כמה מהעובדים מועסקים בשכר חודשי?,מספר,,GEN-04 > 0,,,,,ליבה
GEN-09,פרופיל העסק,משרת אמון,"האם יש עובדים שהעסק מגדיר כעובדי הנהלה, בעלי תפקיד בכיר או משרת אמון?",כן/לא/לא יודעת,כן | לא | לא יודעת,GEN-04 > 0,אם כן → GEN-10.,,אין לקבל את הגדרת המעסיק כמכריעה; נדרשת בדיקה מהותית.,,ליבה
GEN-10,פרופיל העסק,משרת אמון,נא לציין את התפקידים שהעסק מגדיר כמשרת הנהלה/אמון.,טקסט קצר,,GEN-09 = כן,,,"בהמשך יש לבחון סמכויות, עצמאות, נגישות למידע, יכולת פיקוח על שעות ומאפייני התפקיד.",,מותנה
